3,1,23,7,1,1,1,1,1,1,1,5,1,1
4,1,9,9,2,2,2,2,1,1,1,6,1,1
3,2,34,12,2,3,2,2,1,1,1,5,1,2
5,1,17,10,2,1,2,1,1,2,1,5,1,2
2,3,11,10,1,4,1,2,2,1,1,4,1,1
4,1,20,6,1,5,3,2,1,1,1,4,1,1
3,3,23,9,1,4,4,1,1,1,1,5,1,1
7,4,11,15,2,6,2,2,1,1,1,4,1,2
3,1,37,10,1,5,4,2,2,1,1,5,1,1
6,1,11,4,2,7,2,2,1,1,1,2,1,1
7,1,19,9,2,1,2,2,1,2,1,5,1,2
4,5,22,13,2,8,2,2,1,1,1,5,1,1
3,1,9,9,1,8,3,2,2,1,1,4,1,1
6,3,30,9,2,4,2,2,1,1,1,4,1,1
5,1,28,9,2,1,2,2,1,1,1,5,1,2
5,1,35,14,2,9,2,2,1,1,1,6,1,2
3,6,45,10,1,5,1,2,1,1,1,3,1,1
5,1,13,9,2,8,5,2,2,1,1,4,1,1
4,1,7,9,3,1,4,2,2,1,1,3,1,1
5,1,9,16,2,6,2,3,1,1,1,5,2,2
4,1,11,13,2,10,2,2,1,1,1,5,1,2
4,1,24,10,1,5,1,1,2,1,1,4,1,1
8,3,14,4,4,4,3,2,2,1,1,1,1,1
3,1,23,13,1,6,3,2,1,1,1,5,3,1
3,1,21,13,2,6,2,2,1,1,1,5,1,1
5,4,44,9,2,7,2,2,1,2,1,10,1,2
3,1,24,9,1,8,1,2,1,1,1,3,1,1
3,1,14,9,5,1,4,1,1,1,1,6,1,1
6,1,10,9,2,7,2,2,1,1,1,4,1,1
4,4,11,10,1,6,3,2,1,1,1,7,1,1
5,6,11,10,2,9,2,1,1,2,1,4,1,2
6,4,19,7,3,5,4,2,2,1,1,6,1,1
3,4,19,13,1,11,3,2,1,1,1,6,1,1
3,2,26,10,2,3,2,2,1,1,1,5,1,1
3,1,5,9,4,9,4,2,2,1,1,5,1,1
7,3,20,9,2,4,2,2,1,1,1,5,1,1
4,2,41,13,2,6,2,2,1,1,1,5,1,2
3,1,25,3,1,12,3,2,1,1,1,6,4,1
2,1,27,6,1,1,3,2,1,1,1,5,1,1
3,1,26,9,1,7,1,2,1,1,1,5,1,1
7,1,14,14,2,6,2,2,1,1,1,6,1,2
5,7,13,11,2,11,2,2,1,1,1,5,1,2
4,1,47,9,2,2,2,2,1,1,1,5,1,1
3,1,11,7,2,5,2,2,1,1,1,5,1,1
3,6,14,10,1,2,1,2,1,1,1,4,1,1
3,1,25,11,2,6,5,2,2,1,1,4,1,2
4,1,30,4,2,7,2,2,1,1,1,5,5,1
6,1,19,10,2,13,2,2,1,1,1,6,1,1
6,1,21,7,5,12,3,1,2,1,1,2,1,1
6,7,14,9,3,9,3,2,2,1,1,6,1,1
2,1,6,10,1,5,1,2,1,1,1,3,1,1
4,1,29,9,4,14,1,1,1,1,1,5,1,1
3,1,22,10,1,5,1,2,2,1,4,3,1,1
3,1,6,9,1,5,3,2,1,3,1,7,1,2
4,1,22,5,6,9,3,2,1,1,1,6,5,1
3,1,12,10,1,8,1,2,2,1,1,5,1,1
7,1,15,9,2,7,2,2,1,1,1,5,1,1
4,2,39,13,2,9,2,2,1,1,1,6,1,2
5,7,18,9,2,9,2,2,1,2,1,6,1,2
4,1,27,9,2,14,2,2,1,1,1,5,1,1
4,1,11,13,1,9,3,2,2,1,1,6,1,1
4,1,12,10,4,11,3,2,1,1,1,5,1,1
3,1,4,14,1,9,3,2,2,1,1,5,1,1
4,1,29,9,1,1,1,2,2,1,1,5,1,1
5,2,18,9,4,8,3,2,2,1,1,5,1,1
5,1,11,13,1,5,3,2,2,1,1,5,2,1
5,7,45,12,2,7,2,2,1,4,1,7,1,2
2,1,11,10,1,5,1,2,1,1,1,3,1,1
5,1,18,9,5,13,3,2,1,1,1,5,1,1
5,1,11,9,2,11,2,2,1,1,1,5,1,1
6,1,33,10,2,9,2,2,1,4,1,5,1,2
5,1,18,11,2,10,2,2,1,1,1,5,1,1
4,1,23,9,2,1,2,2,1,1,1,5,5,1
3,1,39,10,5,14,3,2,2,1,1,5,1,1
5,1,27,10,2,7,2,4,1,1,1,5,6,1
2,3,17,6,1,4,1,2,1,1,1,5,1,1
5,1,8,9,2,1,2,2,1,1,1,6,1,1
7,7,18,9,2,11,2,2,1,1,1,4,1,1
6,1,32,9,2,13,2,2,1,1,1,5,1,1
3,1,8,10,1,8,3,2,2,1,1,5,1,1
5,7,7,10,2,1,2,2,1,1,1,6,1,1
3,1,22,13,1,9,3,2,1,1,1,5,1,1
3,1,9,10,5,5,3,2,1,1,4,5,1,1
5,7,23,9,2,7,2,2,1,20,1,6,2,2
4,4,12,10,2,7,2,2,1,1,1,6,1,1
5,1,18,9,5,1,3,2,2,1,1,5,1,1
3,5,25,7,1,5,1,2,2,1,1,2,1,1
6,1,17,9,2,11,2,2,1,1,1,6,1,2
3,5,23,10,1,15,3,2,1,1,1,5,1,1
5,3,4,14,2,4,5,2,2,2,1,2,1,2
6,1,30,13,1,9,3,2,2,1,1,3,1,1
5,5,8,4,1,5,3,1,1,1,1,3,1,1
4,1,18,14,2,6,5,2,2,2,1,2,1,2
6,5,10,13,4,8,3,2,1,1,1,5,1,1
4,1,20,14,1,5,3,5,1,1,1,5,1,1
3,1,48,9,1,14,1,2,1,1,1,5,1,1
3,1,24,13,1,9,1,2,2,1,1,5,1,1
5,1,17,6,2,2,2,2,1,1,1,5,1,1
6,1,28,9,2,13,2,2,1,1,1,5,1,2
3,1,17,9,1,8,3,2,2,1,1,5,1,1
6,3,19,10,2,4,5,2,2,1,1,2,1,1
4,1,21,10,1,8,4,1,2,1,1,4,1,1
3,1,22,10,1,13,1,1,1,1,1,4,1,1
6,4,31,5,3,5,3,2,2,1,1,5,1,1
6,2,16,9,3,8,4,2,2,1,1,3,1,1
4,1,8,6,5,1,3,2,2,1,1,5,1,1
5,2,21,9,2,3,2,2,1,1,1,5,1,1
3,1,16,9,1,13,1,2,1,1,1,5,1,1
2,1,29,10,1,14,1,1,1,1,1,2,1,1
2,1,22,9,1,5,3,2,2,1,1,3,1,1
2,1,18,9,1,1,1,2,2,1,1,5,1,1
3,1,15,10,2,7,2,2,1,1,1,5,1,1
3,1,34,11,2,9,2,2,1,1,1,5,1,2
3,3,4,9,1,4,1,2,2,1,1,3,1,1
5,1,11,10,2,14,2,2,1,1,1,5,1,1
3,1,21,9,1,14,4,2,1,1,1,5,1,1
5,1,10,9,2,7,2,2,1,1,1,5,1,1
3,1,21,7,1,5,3,2,2,1,1,3,1,1
5,1,19,9,6,8,4,2,2,1,1,5,1,1
5,1,18,13,4,11,4,2,2,1,1,5,1,2
4,2,20,13,4,6,4,2,2,1,1,7,1,1
2,1,22,10,1,11,1,2,2,1,1,3,1,1
2,1,25,10,1,3,1,2,1,1,1,4,1,1
5,1,12,10,4,10,3,2,2,1,1,5,1,1
5,1,19,9,4,14,4,2,2,1,1,5,1,1
7,1,19,9,4,8,3,2,2,1,1,3,1,1
5,5,5,16,2,6,5,2,2,1,1,5,1,2
3,1,14,9,1,6,1,2,1,1,1,5,1,1
3,4,12,9,2,7,2,2,1,1,1,7,7,2
5,1,24,14,2,6,2,2,1,1,5,6,1,2
5,1,43,10,2,8,2,2,1,1,1,5,1,1
3,1,25,9,1,7,4,1,2,1,1,5,1,1
3,3,34,9,1,4,3,2,2,1,1,5,1,1
5,7,11,16,2,6,2,2,1,1,1,5,1,2
6,1,25,9,2,7,2,1,1,1,1,5,1,1
4,1,15,12,1,6,3,2,2,1,1,5,1,1
4,1,19,9,2,11,2,2,1,1,1,7,1,2
5,1,18,4,2,1,2,1,1,1,1,5,1,1
4,1,15,9,2,1,5,2,2,1,1,4,1,1
3,1,31,6,2,2,2,2,1,1,1,5,1,1
5,1,9,14,2,6,2,2,1,1,1,5,1,1
2,1,27,10,1,8,1,3,2,1,1,3,8,1
5,1,16,9,2,9,2,2,1,2,1,6,1,2
5,7,22,9,2,9,2,2,1,1,4,5,1,2
4,1,16,14,1,6,1,2,2,1,1,4,1,1
5,4,18,9,3,9,3,2,2,1,1,4,1,1
5,1,3,11,3,9,4,2,2,1,1,4,1,1
4,1,18,9,2,11,2,2,1,1,1,5,1,2
6,1,13,13,2,9,2,2,1,4,1,6,1,2
2,1,46,9,1,11,3,2,1,1,1,4,1,1
3,1,22,10,1,5,3,1,1,1,1,2,1,1
3,1,23,7,2,5,5,1,2,1,1,4,1,1
6,1,12,4,2,1,2,2,1,1,1,3,1,1
3,1,32,7,1,7,4,2,1,1,1,5,1,1
5,6,7,13,2,8,2,2,1,1,4,5,1,2
3,1,13,10,1,8,1,2,2,1,1,5,1,1
3,2,11,9,1,7,3,2,1,1,1,5,1,1
3,1,54,13,1,11,3,2,1,1,1,3,1,1
5,1,12,10,1,14,4,1,2,1,2,5,1,1
4,7,10,13,4,9,3,2,1,1,1,5,1,1
6,1,5,7,2,5,2,2,1,1,1,4,1,1
4,1,14,9,2,11,2,2,1,1,1,5,1,1
3,1,39,9,2,7,2,2,1,1,1,5,1,1
3,1,15,13,1,11,1,2,1,1,1,5,1,1
5,6,6,14,2,9,2,2,1,1,1,5,1,2
4,1,16,10,2,9,2,2,1,1,1,5,1,2
